VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1G1RD6S58J,Kitsap,Bremerton,WA,98312,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,35,333120707,POINT (-122.66122 47.56573),PUGET SOUND ENERGY INC,53035080900
JN1AZ0CP6B,Walla Walla,Walla Walla,WA,99362,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,16,208059442,POINT (-118.34261 46.07068),PACIFICORP,53071920702
1N4AZ0CP3F,Kitsap,Kingston,WA,98346,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,115797398,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
JTDKN3DP5C,Kitsap,Bremerton,WA,98312,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,35,140080146,POINT (-122.66122 47.56573),PUGET SOUND ENERGY INC,53035080700
JTDKAMFP0M,Yakima,Yakima,WA,98902,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,14,144884302,POINT (-120.52301 46.60138),PACIFICORP,53077000302
1N4AZ1CP4L,Thurston,Olympia,WA,98501,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,22,124333275,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010700
KM8K23AG4L,Island,Langley,WA,98260,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,10,142045634,POINT (-122.40618 48.0399),PUGET SOUND ENERGY INC,53029971900
1N4AZ1CP3J,Thurston,Olympia,WA,98501,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,22,474204888,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010400
1N4BZ0CP7G,Skagit,Bow,WA,98232,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,40,250052960,POINT (-122.397 48.56045),PUGET SOUND ENERGY INC,53057950802
1N4AZ0CP9D,Snohomish,Edmonds,WA,98020,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,21,146860493,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050300
